更新时间,#genre#
2026-02-06 03:06:28,#genre#

央视频道,#genre#
CCTV1,http://112.254.55.106:22222/rtp/239.253.254.77:8000
CCTV1,http://124.65.5.35:20000/rtp/239.3.1.129:8008
CCTV1,http://124.77.177.88:5555/rtp/239.45.3.145:5140
CCTV1,http://222.129.32.179:6666/rtp/239.3.1.129:8008
CCTV1,http://brucex.space:4022/rtp/239.3.1.129:8008
CCTV1,http://www.brucex.space:4022/rtp/239.3.1.129:8008
CCTV1,http://171.124.111.237:8085/rtp/226.0.2.153:9136
CCTV1,http://183.129.136.102:9999/rtp/233.50.200.143:5140
CCTV1,http://183.129.136.102:9999/rtp/233.50.201.222:5140
CCTV1,http://183.129.136.102:9999/rtp/233.50.200.99:5140
CCTV1,http://183.129.136.102:9999/rtp/233.50.200.130:5140
CCTV1,http://114.248.6.123:8888/rtp/239.3.1.129:8008
CCTV1,http://114.250.23.126:4022/rtp/239.3.1.129:8008
CCTV2,http://112.254.55.106:22222/rtp/239.253.254.232:8000
CCTV2,http://124.65.5.35:20000/rtp/239.3.1.60:8084
CCTV2,http://124.77.177.88:5555/rtp/239.45.3.208:5140
CCTV2,http://222.129.32.179:6666/rtp/239.3.1.60:8084
CCTV2,http://brucex.space:4022/rtp/239.3.1.60:8084
CCTV2,http://www.brucex.space:4022/rtp/239.3.1.60:8084
CCTV2,http://171.124.111.237:8085/rtp/226.0.2.154:9144
CCTV2,http://183.129.136.102:9999/rtp/233.50.201.119:5140
CCTV2,http://183.129.136.102:9999/rtp/233.50.200.100:5140
CCTV2,http://183.129.136.102:9999/rtp/233.50.200.25:5140
CCTV2,http://114.248.6.123:8888/rtp/239.3.1.60:8084
CCTV2,http://114.250.23.126:4022/rtp/239.3.1.60:8084
CCTV3,http://112.254.55.106:22222/rtp/239.253.254.191:8000
CCTV3,http://124.65.5.35:20000/rtp/239.3.1.172:8001
CCTV3,http://124.77.177.88:5555/rtp/239.45.1.68:5140
CCTV3,http://222.129.32.179:6666/rtp/239.3.1.172:8001
CCTV3,http://brucex.space:4022/rtp/239.3.1.172:8001
CCTV3,http://www.brucex.space:4022/rtp/239.3.1.172:8001
CCTV3,http://171.124.111.237:8085/rtp/226.0.2.208:9576
CCTV3,http://183.129.136.102:9999/rtp/233.50.200.107:5140
CCTV3,http://183.129.136.102:9999/rtp/233.50.201.196:5140
CCTV3,http://114.248.6.123:8888/rtp/239.3.1.172:8001
CCTV3,http://114.250.23.126:4022/rtp/239.3.1.172:8001
CCTV4,http://112.254.55.106:22222/rtp/239.253.254.187:8000
CCTV4,http://124.65.5.35:20000/rtp/239.3.1.105:8092
CCTV4,http://124.77.177.88:5555/rtp/239.45.0.2:5140
CCTV4,http://222.129.32.179:6666/rtp/239.3.1.105:8092
CCTV4,http://brucex.space:4022/rtp/239.3.1.105:8092
CCTV4,http://www.brucex.space:4022/rtp/239.3.1.105:8092
CCTV4,http://171.124.111.237:8085/rtp/226.0.2.156:9160
CCTV4,http://183.129.136.102:9999/rtp/233.50.202.38:5140
CCTV4,http://183.129.136.102:9999/rtp/233.50.200.101:5140
CCTV4,http://114.248.6.123:8888/rtp/239.3.1.105:8092
CCTV4,http://114.250.23.126:4022/rtp/239.3.1.105:8092
CCTV4欧洲,http://124.65.5.35:20000/rtp/239.3.1.213:4220
CCTV4欧洲,http://222.129.32.179:6666/rtp/239.3.1.213:4220
CCTV4欧洲,http://brucex.space:4022/rtp/239.3.1.213:4220
CCTV4欧洲,http://www.brucex.space:4022/rtp/239.3.1.213:4220
CCTV4欧洲,http://114.248.6.123:8888/rtp/239.3.1.213:4220
CCTV4欧洲,http://114.250.23.126:4022/rtp/239.3.1.213:4220
CCTV4美洲,http://124.65.5.35:20000/rtp/239.3.1.214:4220
CCTV4美洲,http://222.129.32.179:6666/rtp/239.3.1.214:4220
CCTV4美洲,http://brucex.space:4022/rtp/239.3.1.214:4220
CCTV4美洲,http://www.brucex.space:4022/rtp/239.3.1.214:4220
CCTV4美洲,http://114.248.6.123:8888/rtp/239.3.1.214:4220
CCTV4美洲,http://114.250.23.126:4022/rtp/239.3.1.214:4220
CCTV5,http://112.254.55.106:22222/rtp/239.253.254.192:8000
CCTV5,http://124.65.5.35:20000/rtp/239.3.1.173:8001
CCTV5,http://124.77.177.88:5555/rtp/239.45.1.69:5140
CCTV5,http://222.129.32.179:6666/rtp/239.3.1.173:8001
CCTV5,http://brucex.space:4022/rtp/239.3.1.173:8001
CCTV5,http://www.brucex.space:4022/rtp/239.3.1.173:8001
CCTV5,http://171.124.111.237:8085/rtp/226.0.2.209:9584
CCTV5,http://183.129.136.102:9999/rtp/233.50.201.195:5140
CCTV5,http://183.129.136.102:9999/rtp/233.50.200.108:5140
CCTV5,http://183.129.136.102:9999/rtp/233.50.201.193:5140
CCTV5,http://183.129.136.102:9999/rtp/233.50.201.108:5140
CCTV5,http://183.129.136.102:9999/rtp/233.50.201.194:5140
CCTV5,http://183.129.136.102:9999/rtp/233.50.201.197:5140
CCTV5,http://183.129.136.102:9999/rtp/233.50.201.227:5140
CCTV5,http://114.248.6.123:8888/rtp/239.3.1.173:8001
CCTV5,http://114.250.23.126:4022/rtp/239.3.1.173:8001
CCTV5+,http://112.254.55.106:22222/rtp/239.253.254.80:8000
CCTV5+,http://124.65.5.35:20000/rtp/239.3.1.130:8004
CCTV5+,http://222.129.32.179:6666/rtp/239.3.1.130:8004
CCTV5+,http://brucex.space:4022/rtp/239.3.1.130:8004
CCTV5+,http://www.brucex.space:4022/rtp/239.3.1.130:8004
CCTV5+,http://171.124.111.237:8085/rtp/226.0.2.168:9256
CCTV5+,http://183.129.136.102:9999/rtp/233.50.201.220:5140
CCTV5+,http://114.248.6.123:8888/rtp/239.3.1.130:8004
CCTV5+,http://114.250.23.126:4022/rtp/239.3.1.130:8004
CCTV6,http://112.254.55.106:22222/rtp/239.253.254.193:8000
CCTV6,http://124.65.5.35:20000/rtp/239.3.1.174:8001
CCTV6,http://124.77.177.88:5555/rtp/239.45.1.70:5140
CCTV6,http://222.129.32.179:6666/rtp/239.3.1.174:8001
CCTV6,http://brucex.space:4022/rtp/239.3.1.174:8001
CCTV6,http://www.brucex.space:4022/rtp/239.3.1.174:8001
CCTV6,http://171.124.111.237:8085/rtp/226.0.2.210:9592
CCTV6,http://183.129.136.102:9999/rtp/233.50.200.109:5140
CCTV6,http://183.129.136.102:9999/rtp/233.50.201.198:5140
CCTV6,http://114.248.6.123:8888/rtp/239.3.1.174:8001
CCTV6,http://114.250.23.126:4022/rtp/239.3.1.174:8001
CCTV7,http://112.254.55.106:22222/rtp/239.253.254.233:8000
CCTV7,http://124.65.5.35:20000/rtp/239.3.1.61:8104
CCTV7,http://124.77.177.88:5555/rtp/239.45.3.56:5140
CCTV7,http://222.129.32.179:6666/rtp/239.3.1.61:8104
CCTV7,http://brucex.space:4022/rtp/239.3.1.61:8104
CCTV7,http://www.brucex.space:4022/rtp/239.3.1.61:8104
CCTV7,http://171.124.111.237:8085/rtp/226.0.2.159:9184
CCTV7,http://183.129.136.102:9999/rtp/233.50.200.102:5140
CCTV7,http://183.129.136.102:9999/rtp/233.50.200.24:5140
CCTV7,http://183.129.136.102:9999/rtp/233.50.201.120:5140
CCTV7,http://114.248.6.123:8888/rtp/239.3.1.61:8104
CCTV7,http://114.250.23.126:4022/rtp/239.3.1.61:8104
CCTV8,http://112.254.55.106:22222/rtp/239.253.254.194:8000
CCTV8,http://124.65.5.35:20000/rtp/239.3.1.175:8001
CCTV8,http://124.77.177.88:5555/rtp/239.45.1.71:5140
CCTV8,http://222.129.32.179:6666/rtp/239.3.1.175:8001
CCTV8,http://brucex.space:4022/rtp/239.3.1.175:8001
CCTV8,http://www.brucex.space:4022/rtp/239.3.1.175:8001
CCTV8,http://171.124.111.237:8085/rtp/226.0.2.211:9600
CCTV8,http://183.129.136.102:9999/rtp/233.50.201.199:5140
CCTV8,http://183.129.136.102:9999/rtp/233.50.200.110:5140
CCTV8,http://183.129.136.102:9999/rtp/233.50.201.116:5140
CCTV8,http://114.248.6.123:8888/rtp/239.3.1.175:8001
CCTV8,http://114.250.23.126:4022/rtp/239.3.1.175:8001
CCTV9,http://112.254.55.106:22222/rtp/239.253.254.79:8000
CCTV9,http://124.65.5.35:20000/rtp/239.3.1.62:8112
CCTV9,http://124.77.177.88:5555/rtp/239.45.3.4:5140
CCTV9,http://222.129.32.179:6666/rtp/239.3.1.62:8112
CCTV9,http://brucex.space:4022/rtp/239.3.1.62:8112
CCTV9,http://www.brucex.space:4022/rtp/239.3.1.62:8112
CCTV9,http://171.124.111.237:8085/rtp/226.0.2.161:9200
CCTV9,http://183.129.136.102:9999/rtp/233.50.200.23:5140
CCTV9,http://183.129.136.102:9999/rtp/233.50.201.121:5140
CCTV9,http://114.248.6.123:8888/rtp/239.3.1.62:8112
CCTV9,http://114.250.23.126:4022/rtp/239.3.1.62:8112
CCTV10,http://112.254.55.106:22222/rtp/239.253.254.234:8000
CCTV10,http://124.65.5.35:20000/rtp/239.3.1.63:8116
CCTV10,http://124.77.177.88:5555/rtp/239.45.3.8:5140
CCTV10,http://222.129.32.179:6666/rtp/239.3.1.63:8116
CCTV10,http://brucex.space:4022/rtp/239.3.1.63:8116
CCTV10,http://www.brucex.space:4022/rtp/239.3.1.63:8116
CCTV10,http://171.124.111.237:8085/rtp/226.0.2.162:9208
CCTV10,http://183.129.136.102:9999/rtp/233.50.200.22:5140
CCTV10,http://183.129.136.102:9999/rtp/233.50.201.122:5140
CCTV10,http://114.248.6.123:8888/rtp/239.3.1.63:8116
CCTV10,http://114.250.23.126:4022/rtp/239.3.1.63:8116
CCTV11,http://112.254.55.106:22222/rtp/239.253.254.169:8000
CCTV11,http://124.65.5.35:20000/rtp/239.3.1.152:8120
CCTV11,http://124.77.177.88:5555/rtp/239.45.1.196:5140
CCTV11,http://222.129.32.179:6666/rtp/239.3.1.152:8120
CCTV11,http://brucex.space:4022/rtp/239.3.1.152:8120
CCTV11,http://www.brucex.space:4022/rtp/239.3.1.152:8120
CCTV11,http://183.129.136.102:9999/rtp/233.50.200.132:5140
CCTV11,http://183.129.136.102:9999/rtp/233.50.202.39:5140
CCTV11,http://114.248.6.123:8888/rtp/239.3.1.152:8120
CCTV11,http://114.250.23.126:4022/rtp/239.3.1.152:8120
CCTV12,http://112.254.55.106:22222/rtp/239.253.254.235:8000
CCTV12,http://124.65.5.35:20000/rtp/239.3.1.64:8124
CCTV12,http://124.77.177.88:5555/rtp/239.45.3.10:5140
CCTV12,http://222.129.32.179:6666/rtp/239.3.1.64:8124
CCTV12,http://brucex.space:4022/rtp/239.3.1.64:8124
CCTV12,http://www.brucex.space:4022/rtp/239.3.1.64:8124
CCTV12,http://171.124.111.237:8085/rtp/226.0.2.164:9224
CCTV12,http://183.129.136.102:9999/rtp/233.50.200.21:5140
CCTV12,http://183.129.136.102:9999/rtp/233.50.201.123:5140
CCTV12,http://114.248.6.123:8888/rtp/239.3.1.64:8124
CCTV12,http://114.250.23.126:4022/rtp/239.3.1.64:8124
CCTV13,http://112.254.55.106:22222/rtp/239.253.254.175:8000
CCTV13,http://124.65.5.35:20000/rtp/239.3.1.124:8128
CCTV13,http://124.77.177.88:5555/rtp/239.45.1.198:5140
CCTV13,http://222.129.32.179:6666/rtp/239.3.1.124:8128
CCTV13,http://brucex.space:4022/rtp/239.3.1.124:8128
CCTV13,http://www.brucex.space:4022/rtp/239.3.1.124:8128
CCTV13,http://171.124.111.237:8085/rtp/226.0.2.165:9232
CCTV13,http://183.129.136.102:9999/rtp/233.50.200.111:5140
CCTV13,http://183.129.136.102:9999/rtp/233.50.200.97:5140
CCTV13,http://183.129.136.102:9999/rtp/233.50.201.246:5140
CCTV13,http://114.248.6.123:8888/rtp/239.3.1.124:8128
CCTV13,http://114.250.23.126:4022/rtp/239.3.1.124:8128
CCTV14,http://112.254.55.106:22222/rtp/239.253.254.236:8000
CCTV14,http://124.65.5.35:20000/rtp/239.3.1.65:8132
CCTV14,http://124.77.177.88:5555/rtp/239.45.3.23:5140
CCTV14,http://222.129.32.179:6666/rtp/239.3.1.65:8132
CCTV14,http://brucex.space:4022/rtp/239.3.1.65:8132
CCTV14,http://www.brucex.space:4022/rtp/239.3.1.65:8132
CCTV14,http://171.124.111.237:8085/rtp/226.0.2.166:9240
CCTV14,http://183.129.136.102:9999/rtp/233.50.200.103:5140
CCTV14,http://183.129.136.102:9999/rtp/233.50.200.20:5140
CCTV14,http://183.129.136.102:9999/rtp/233.50.201.124:5140
CCTV14,http://114.248.6.123:8888/rtp/239.3.1.65:8132
CCTV14,http://114.250.23.126:4022/rtp/239.3.1.65:8132
CCTV15,http://112.254.55.106:22222/rtp/239.253.254.170:8000
CCTV15,http://124.65.5.35:20000/rtp/239.3.1.153:8136
CCTV15,http://124.77.177.88:5555/rtp/239.45.1.200:5140
CCTV15,http://222.129.32.179:6666/rtp/239.3.1.153:8136
CCTV15,http://brucex.space:4022/rtp/239.3.1.153:8136
CCTV15,http://www.brucex.space:4022/rtp/239.3.1.153:8136
CCTV15,http://183.129.136.102:9999/rtp/233.50.200.133:5140
CCTV15,http://183.129.136.102:9999/rtp/233.50.202.40:5140
CCTV15,http://114.248.6.123:8888/rtp/239.3.1.153:8136
CCTV15,http://114.250.23.126:4022/rtp/239.3.1.153:8136
CCTV16,http://124.65.5.35:20000/rtp/239.3.1.184:8001
CCTV16,http://124.77.177.88:5555/rtp/239.45.0.12:5140
CCTV16,http://222.129.32.179:6666/rtp/239.3.1.184:8001
CCTV16,http://brucex.space:4022/rtp/239.3.1.184:8001
CCTV16,http://www.brucex.space:4022/rtp/239.3.1.184:8001
CCTV16,http://171.124.111.237:8085/rtp/226.0.2.169:9264
CCTV16,http://183.129.136.102:9999/rtp/233.50.201.63:5140
CCTV16,http://183.129.136.102:9999/rtp/233.50.200.112:5140
CCTV16,http://183.129.136.102:9999/rtp/233.50.201.192:5140
CCTV16,http://114.248.6.123:8888/rtp/239.3.1.184:8001
CCTV16,http://114.250.23.126:4022/rtp/239.3.1.184:8001
CCTV17,http://112.254.55.106:22222/rtp/239.253.254.168:8000
CCTV17,http://124.65.5.35:20000/rtp/239.3.1.151:8144
CCTV17,http://124.77.177.88:5555/rtp/239.45.3.52:5140
CCTV17,http://222.129.32.179:6666/rtp/239.3.1.151:8144
CCTV17,http://brucex.space:4022/rtp/239.3.1.151:8144
CCTV17,http://www.brucex.space:4022/rtp/239.3.1.151:8144
CCTV17,http://171.124.111.237:8085/rtp/226.0.2.170:9272
CCTV17,http://183.129.136.102:9999/rtp/233.50.200.113:5140
CCTV17,http://114.248.6.123:8888/rtp/239.3.1.151:8144
CCTV17,http://114.250.23.126:4022/rtp/239.3.1.151:8144
CCTV4K,http://124.77.177.88:5555/rtp/239.45.0.55:5140
CCTV4K,http://124.77.177.88:5555/rtp/233.18.204.188:5140
CCTV4K,http://183.129.136.102:9999/rtp/233.50.201.226:5140
兵器科技,http://124.77.177.88:5555/rtp/233.18.204.178:5140
兵器科技,http://124.77.177.88:5555/rtp/239.45.1.74:5140
兵器科技,http://124.77.177.88:5555/rtp/239.45.0.45:5140
兵器科技,http://171.124.111.237:8085/rtp/226.0.2.223:9696
风云音乐,http://124.77.177.88:5555/rtp/239.45.0.52:5140
风云音乐,http://124.77.177.88:5555/rtp/233.18.204.185:5140
风云音乐,http://171.124.111.237:8085/rtp/226.0.2.220:9672
风云足球,http://124.77.177.88:5555/rtp/233.18.204.176:5140
风云足球,http://124.77.177.88:5555/rtp/239.45.0.43:5140
风云足球,http://171.124.111.237:8085/rtp/226.0.2.225:9712
风云剧场,http://124.77.177.88:5555/rtp/239.45.0.50:5140
风云剧场,http://124.77.177.88:5555/rtp/233.18.204.183:5140
风云剧场,http://171.124.111.237:8085/rtp/226.0.2.227:9728
怀旧剧场,http://124.77.177.88:5555/rtp/233.18.204.182:5140
