CCTV1,rtp://239.3.1.129:8008
CCTV2,rtp://239.3.1.60:8084
CCTV3,rtp://239.3.1.172:8001
CCTV4,rtp://239.3.1.105:8092
CCTV4欧洲,rtp://239.3.1.213:4220
CCTV4美洲,rtp://239.3.1.214:4220
CCTV5,rtp://239.3.1.173:8001
CCTV5+,rtp://239.3.1.130:8004
CCTV6,rtp://239.3.1.174:8001
CCTV7,rtp://239.3.1.61:8104
CCTV8,rtp://239.3.1.175:8001
CCTV9,rtp://239.3.1.62:8112
CCTV10,rtp://239.3.1.63:8116
CCTV11,rtp://239.3.1.152:8120
CCTV12,rtp://239.3.1.64:8124
CCTV13,rtp://239.3.1.124:8128
CCTV14,rtp://239.3.1.65:8132
CCTV15,rtp://239.3.1.153:8136
CCTV16,rtp://239.3.1.184:8001
CCTV17,rtp://239.3.1.151:8144
CCTV-4K,rtp://239.3.1.245:2000
北京IPTV4K,rtp://239.3.1.249:8001
北京卫视4K,rtp://239.3.1.22:8001
北京卫视4K,rtp://239.3.1.118:8001
东方卫视4K,rtp://239.3.1.119:3006
广东卫视4K,rtp://239.3.1.203:2000
深圳卫视4K,rtp://239.3.1.202:2000
湖南卫视4K,rtp://239.3.1.112:3002
山东卫视4K,rtp://239.3.1.144:3005
四川卫视4K,rtp://239.3.1.131:3001
浙江卫视4K,rtp://239.3.1.114:3004
江苏卫视4K,rtp://239.3.1.113:3003
北京卫视,rtp://239.3.1.241:8000
江苏卫视,rtp://239.3.1.135:8028
浙江卫视,rtp://239.3.1.137:8036
东方卫视,rtp://239.3.1.136:8032
湖南卫视,rtp://239.3.1.132:8012
深圳卫视,rtp://239.3.1.134:8020
山东卫视,rtp://239.3.1.209:8052
天津卫视,rtp://239.3.1.141:1234
贵州卫视,rtp://239.3.1.149:8076
重庆卫视,rtp://239.3.1.122:8160
黑龙江卫视,rtp://239.3.1.133:8016
安徽卫视,rtp://239.3.1.211:8064
江西卫视,rtp://239.3.1.123:8164
湖北卫视,rtp://239.3.1.138:8044
东南卫视,rtp://239.3.1.156:8148
吉林卫视,rtp://239.3.1.240:8172
辽宁卫视,rtp://239.3.1.210:8056
广东卫视,rtp://239.3.1.142:8048
河南卫视,rtp://239.3.1.50:8184
河北卫视,rtp://239.3.1.148:8072
甘肃卫视,rtp://239.3.1.49:8188
广西卫视,rtp://239.3.1.39:8300
海南卫视,rtp://239.3.1.45:8304
河南卫视,rtp://239.3.1.27:8128
内蒙古卫视,rtp://239.3.1.43:8176
宁夏卫视,rtp://239.3.1.46:8124
青海卫视,rtp://239.3.1.44:8184
山西卫视,rtp://239.3.1.42:8172
陕西卫视,rtp://239.3.1.41:8140
四川卫视,rtp://239.3.1.29:8288
兵团卫视,rtp://239.3.1.144:4120
大湾区卫视,rtp://239.3.1.161:8001
西藏卫视,rtp://239.3.1.47:8164
新疆卫视,rtp://239.3.1.48:8160
云南卫视,rtp://239.3.1.26:8108
三沙卫视,rtp://239.3.1.155:4120
厦门卫视,rtp://239.3.1.143:4120
西藏卫视,rtp://239.3.1.166:8188
BRTV新闻,rtp://239.3.1.159:8000
BRTV生活,rtp://239.3.1.231:8000
BRTV生活,rtp://239.3.1.117:8000
BRTV体育,rtp://239.3.1.243:8000
BRTV体育,rtp://239.3.1.140:8001
BRTV科教,rtp://239.3.1.115:8000
BRTV科教,rtp://239.3.1.227:8000
BRTV财经,rtp://239.3.1.116:8000
BRTV财经,rtp://239.3.1.229:8000
BRTV影视,rtp://239.3.1.158:8000
BRTV文艺,rtp://239.3.1.242:8000
BRTV国际,rtp://239.3.1.235:8000
北京朝阳,rtp://239.3.1.163:8001
北京房山,rtp://239.3.1.96:8001
北京通州,rtp://239.3.1.221:8001
北京门头沟,rtp://239.3.1.59:8001
爱上4K,rtp://239.3.1.236:2000
IPTV少儿动画,rtp://239.3.1.199:9000
IPTV热播剧场,rtp://239.3.1.194:9020
IPTV经典电影,rtp://239.3.1.195:9024
IPTV魅力时尚,rtp://239.3.1.196:9012
IPTV光影,rtp://239.3.1.84:4120
IPTV军旅剧场,rtp://239.3.1.69:4120
IPTV军旅剧场,rtp://239.3.1.68:4120
IPTV动作影院,rtp://239.3.1.92:4120
IPTV动画,rtp://239.3.1.80:4120
IPTV喜剧剧场,rtp://239.3.1.91:4120
IPTV家庭影院,rtp://239.3.1.93:4120
IPTV影视,rtp://239.3.1.88:4120
IPTV武侠剧场,rtp://239.3.1.90:4120
IPTV精选,rtp://239.3.1.74:4120
IPTV都市剧场,rtp://239.3.1.67:4120
嘉佳卡通,rtp://239.3.1.147:9268
BRTV卡酷动画,rtp://239.3.1.189:8000
淘电影,rtp://239.3.1.250:8001
淘剧场,rtp://239.3.1.95:8001
淘娱乐,rtp://239.3.1.100:8001
淘baby,rtp://239.3.1.238:8001
萌宠TV,rtp://239.3.1.102:8001
睛彩竞技,rtp://239.3.1.125:8001
睛彩广场舞,rtp://239.3.1.128:8001
睛彩篮球,rtp://239.3.1.126:8001
睛彩青少,rtp://239.3.1.127:8001
金鹰卡通,rtp://239.3.1.51:9252
茶频道,rtp://239.3.1.165:8001
金鹰纪实,rtp://239.3.1.58:8156
快乐垂钓,rtp://239.3.1.164:8001
中国交通,rtp://239.3.1.188:8001
山东教育,rtp://239.3.1.52:4120
聚鲨环球精选,rtp://239.3.1.160:8001
聚鲨环球精选,rtp://239.3.1.179:8001
CGTN,rtp://239.2.1.16:8056
CGTN新闻,rtp://239.3.1.215:4220
CGTN记录,rtp://239.3.1.216:4220
CGTN阿语,rtp://239.3.1.219:4220
CGTN俄语,rtp://239.3.1.220:4220
CGTN西语,rtp://239.3.1.217:4220
CGTN法语,rtp://239.3.1.218:4220
CETV1,rtp://239.3.1.57:8152
CETV2,rtp://239.3.1.54:4120
CETV3,rtp://239.3.1.55:4120
CETV4,rtp://239.3.1.56:4120
央视网CCTV1,rtp://239.3.1.81:4120
央视网CCTV1,rtp://239.3.1.78:4120
央视网CCTV1,rtp://239.3.1.73:4120
央视网CCTV1,rtp://239.3.1.72:4120
央视网CCTV1,rtp://239.3.1.83:4120
央视网CCTV3,rtp://239.3.1.193:8012
央视网CCTV5,rtp://239.3.1.89:4120
央视网CCTV7,rtp://239.3.1.76:4120
央视网CCTV7,rtp://239.3.1.87:4120
央视网CCTV8,rtp://239.3.1.85:4120
央视网CCTV10,rtp://239.3.1.75:4120
央视网CCTV10,rtp://239.3.1.82:4120
央视网CCTV10,rtp://239.3.1.77:4120
央视网CCTV10,rtp://239.3.1.71:4120
央视网CCTV10,rtp://239.3.1.86:4120
央视网CCTV14,rtp://239.3.1.79:4120
央视网CCTV14,rtp://239.3.1.94:4120
央视网CCTV15,rtp://239.3.1.70:4120
