CCTV-1,rtp://239.252.219.10:5140
CCTV-少儿,rtp://239.252.220.92:5140
CCTV-少儿HD,rtp://239.252.220.92:5140
CCTV1,rtp://239.252.219.200:5140
CCTV10,rtp://239.252.220.91:5140
CCTV10HD,rtp://239.252.220.91:5140
CCTV11,rtp://239.252.219.78:5140
CCTV11HD,rtp://239.252.219.78:5140
CCTV12,rtp://239.252.220.187:5140
CCTV12HD,rtp://239.252.220.187:5140
CCTV13,rtp://239.252.219.139:5140
CCTV13HD,rtp://239.252.219.139:5140
CCTV15,rtp://239.252.219.79:5140
CCTV15HD,rtp://239.252.219.79:5140
CCTV16-4K,rtp://239.252.220.237:5140
CCTV17,rtp://239.252.220.192:5140
CCTV17HD,rtp://239.252.220.192:5140
CCTV1HD,rtp://239.252.219.200:5140
CCTV2,rtp://239.252.220.183:5140
CCTV2HD,rtp://239.252.220.183:5140
CCTV3,rtp://239.252.219.252:5140
CCTV3,rtp://239.252.220.193:5140
CCTV3HD,rtp://239.252.219.252:5140
CCTV3HD,rtp://239.252.220.193:5140
CCTV4,rtp://239.252.220.184:5140
CCTV4HD,rtp://239.252.220.184:5140
CCTV4HD-欧洲,rtp://239.252.219.192:5140
CCTV4HD-美洲,rtp://239.252.219.193:5140
CCTV5+,rtp://239.252.219.72:5140
CCTV5+高清,rtp://239.252.219.72:5140
CCTV5,rtp://239.252.219.198:5140
CCTV5,rtp://239.252.219.236:5140
CCTV5HD,rtp://239.252.219.198:5140
CCTV5HD,rtp://239.252.219.236:5140
CCTV6,rtp://239.252.219.237:5140
CCTV6,rtp://239.252.220.195:5140
CCTV6HD,rtp://239.252.219.237:5140
CCTV6HD,rtp://239.252.220.195:5140
CCTV7,rtp://239.252.220.185:5140
CCTV7HD,rtp://239.252.220.185:5140
CCTV8,rtp://239.252.219.253:5140
CCTV8,rtp://239.252.220.196:5140
CCTV8HD,rtp://239.252.219.253:5140
CCTV8HD,rtp://239.252.220.196:5140
CCTV9,rtp://239.252.220.186:5140
CCTV9HD,rtp://239.252.220.186:5140
CGTN,rtp://239.252.220.150:5140
CGTN-俄语,rtp://239.252.219.67:5140
CGTN-法语,rtp://239.252.219.65:5140
CGTN-英文纪录,rtp://239.252.219.195:5140
CGTN-英语,rtp://239.252.219.194:5140
CGTN-西班牙语,rtp://239.252.219.196:5140
CGTN-阿拉伯语,rtp://239.252.219.66:5140
CHC动作电影,rtp://239.252.219.85:5140
CHC家庭影院,rtp://239.252.219.84:5140
CHC高清电影,rtp://239.252.219.83:5140
IPTV法治,rtp://239.252.220.74:5140
IPTV相声小品,rtp://239.252.220.146:5140
IPTV碟战剧场,rtp://239.252.220.145:5140
IPTV野外,rtp://239.252.220.73:5140
三沙卫视,rtp://239.252.219.76:5140
世界地理,rtp://239.252.219.93:5140
世界地理HD,rtp://239.252.219.93:5140
东南卫视,rtp://239.252.220.82:5140
东南卫视HD,rtp://239.252.220.82:5140
东方卫视,rtp://239.252.219.229:5140
东方卫视HD,rtp://239.252.219.229:5140
东方财经,rtp://239.252.219.57:5140
东方财经HD,rtp://239.252.219.57:5140
中华特产,rtp://239.252.220.213:5140
中国天气,rtp://239.252.219.143:5140
中国教育-2,rtp://239.252.219.73:5140
中国教育1,rtp://239.252.220.198:5140
中国教育1HD,rtp://239.252.220.198:5140
中国教育4频道,rtp://239.252.219.169:5140
乐游,rtp://239.252.219.141:5140
书画,rtp://239.252.219.99:5140
云南卫视,rtp://239.252.219.185:5140
云南卫视HD,rtp://239.252.219.185:5140
优优宝贝,rtp://239.252.220.219:5140
先锋乒羽,rtp://239.252.219.184:5140
光影,rtp://239.252.220.200:5140
兵器科技,rtp://239.252.219.98:5140
兵器科技HD,rtp://239.252.219.98:5140
兵团卫视,rtp://239.252.219.107:5140
内蒙古卫视,rtp://239.252.219.48:5140
军事,rtp://239.252.220.206:5140
军旅剧场,rtp://239.252.220.76:5140
动作影院,rtp://239.252.220.85:5140
动漫秀场,rtp://239.252.219.59:5140
动画,rtp://239.252.219.165:5140
北京卫视,rtp://239.252.219.206:5140
北京卫视HD,rtp://239.252.219.206:5140
华数精彩影视,rtp://239.252.220.223:5140
卡酷卡通,rtp://239.252.219.109:5140
厦门卫视,rtp://239.252.219.75:5140
古装剧场,rtp://239.252.220.77:5140
台球,rtp://239.252.220.201:5140
吉林卫视,rtp://239.252.220.188:5140
吉林卫视HD,rtp://239.252.220.188:5140
喜剧影院,rtp://239.252.220.79:5140
嘉佳卡通,rtp://239.252.219.92:5140
四川卫视,rtp://239.252.220.93:5140
四川卫视HD,rtp://239.252.220.93:5140
四海钓鱼,rtp://239.252.220.214:5140
国学,rtp://239.252.220.157:5140
地理,rtp://239.252.220.207:5140
城市剧场,rtp://239.252.220.75:5140
墨宝,rtp://239.252.219.168:5140
天津卫视,rtp://239.252.220.61:5140
天津卫视HD,rtp://239.252.220.61:5140
天翼4K-15M,rtp://239.252.220.236:5140
天翼高清1,rtp://239.252.220.225:5140
天翼高清10,rtp://239.252.220.234:5140
天翼高清2,rtp://239.252.220.226:5140
天翼高清3,rtp://239.252.220.227:5140
天翼高清4,rtp://239.252.220.228:5140
天翼高清5,rtp://239.252.220.229:5140
天翼高清6,rtp://239.252.220.230:5140
天翼高清7,rtp://239.252.220.231:5140
天翼高清8,rtp://239.252.220.232:5140
天翼高清9,rtp://239.252.220.233:5140
央视台球,rtp://239.252.219.80:5140
央视台球HD,rtp://239.252.219.80:5140
央视精品,rtp://239.252.219.81:5140
央视精品HD,rtp://239.252.219.81:5140
女性时尚,rtp://239.252.219.94:5140
女性时尚HD,rtp://239.252.219.94:5140
好学生,rtp://239.252.220.90:5140
宁夏卫视,rtp://239.252.219.104:5140
宁夏卫视HD,rtp://239.252.219.104:5140
安徽卫视,rtp://239.252.220.83:5140
安徽卫视HD,rtp://239.252.220.83:5140
家庭影院,rtp://239.252.220.86:5140
家庭理财,rtp://239.252.220.217:5140
少儿动画,rtp://239.252.220.136:5140
山东卫视,rtp://239.252.219.228:5140
山东卫视HD,rtp://239.252.219.228:5140
山东教育,rtp://239.252.219.74:5140
山西卫视,rtp://239.252.219.27:5140
广东卫视,rtp://239.252.219.213:5140
广东卫视HD,rtp://239.252.219.213:5140
广西卫视,rtp://239.252.219.183:5140
广西卫视HD,rtp://239.252.219.183:5140
快乐垂钓,rtp://239.252.220.177:5140
快乐垂钓HD,rtp://239.252.220.177:5140
怀旧剧场,rtp://239.252.219.90:5140
怀旧剧场HD,rtp://239.252.219.90:5140
戏曲,rtp://239.252.219.163:5140
收视指南,rtp://239.252.220.144:5140
文物宝库,rtp://239.252.220.158:5140
文物宝库HD,rtp://239.252.220.158:5140
新动漫,rtp://239.252.220.132:5140
新疆卫视,rtp://239.252.219.100:5140
早教,rtp://239.252.219.164:5140
星影,rtp://239.252.220.210:5140
梨园,rtp://239.252.220.179:5140
梨园HD,rtp://239.252.220.179:5140
欢笑剧场-4K,rtp://239.252.219.224:5140
武侠剧场,rtp://239.252.220.88:5140
武术,rtp://239.252.220.203:5140
武术世界,rtp://239.252.220.180:5140
武术世界HD,rtp://239.252.220.180:5140
求索记录,rtp://239.252.220.224:5140
求索记录HD,rtp://239.252.220.224:5140
江苏卫视,rtp://239.252.219.214:5140
江苏卫视HD,rtp://239.252.219.214:5140
江西公共农业频道,rtp://239.252.220.102:5140
江西公共农业频道HD,rtp://239.252.220.102:5140
江西卫视,rtp://239.252.220.63:5140
江西卫视HD,rtp://239.252.220.63:5140
江西少儿频道,rtp://239.252.219.113:5140
江西少儿频道HD,rtp://239.252.219.113:5140
江西影视旅游频道,rtp://239.252.220.242:5140
江西影视旅游频道HD,rtp://239.252.220.242:5140
江西教育频道,rtp://239.252.219.115:5140
江西教育频道HD,rtp://239.252.219.115:5140
江西新闻频道,rtp://239.252.220.100:5140
江西新闻频道HD,rtp://239.252.220.100:5140
江西移动电视频道,rtp://239.252.220.241:5140
江西移动电视频道HD,rtp://239.252.220.241:5140
江西经济生活,rtp://239.252.220.110:5140
江西经济生活频道,rtp://239.252.219.173:5140
江西经济生活频道HD,rtp://239.252.219.173:5140
江西都市频道,rtp://239.252.220.238:5140
江西都市频道HD,rtp://239.252.220.238:5140
汽摩,rtp://239.252.220.181:5140
河北卫视,rtp://239.252.220.154:5140
河北卫视HD,rtp://239.252.220.154:5140
河南卫视,rtp://239.252.220.189:5140
河南卫视HD,rtp://239.252.220.189:5140
法治天地,rtp://239.252.219.56:5140
浙江卫视,rtp://239.252.219.210:5140
浙江卫视HD,rtp://239.252.219.210:5140
海南卫视,rtp://239.252.219.178:5140
海南卫视HD,rtp://239.252.219.178:5140
深圳卫视,rtp://239.252.219.212:5140
深圳卫视HD,rtp://239.252.219.212:5140
游戏风云,rtp://239.252.219.60:5140
湖北卫视,rtp://239.252.219.208:5140
湖北卫视HD,rtp://239.252.219.208:5140
湖南卫视,rtp://239.252.219.201:5140
湖南卫视HD,rtp://239.252.219.201:5140
炫动卡通,rtp://239.252.219.43:5140
热播剧场,rtp://239.252.220.138:5140
爱上4K,rtp://239.252.220.212:5140
爱体育,rtp://239.252.220.141:5140
爱体育,rtp://239.252.220.211:5140
爱体育高清,rtp://239.252.220.211:5140
爱大剧,rtp://239.252.220.143:5140
爱生活,rtp://239.252.220.89:5140
爱电影,rtp://239.252.220.142:5140
爱综艺,rtp://239.252.220.140:5140
环球奇观,rtp://239.252.220.135:5140
环球旅游,rtp://239.252.220.218:5140
甘肃卫视,rtp://239.252.219.140:5140
甘肃卫视HD,rtp://239.252.219.140:5140
生态环境,rtp://239.252.220.216:5140
生活时尚,rtp://239.252.219.54:5140
电视指南,rtp://239.252.219.97:5140
电视指南HD,rtp://239.252.219.97:5140
百姓健康,rtp://239.252.219.146:5140
直播室101,rtp://239.252.219.53:5140
直播室102,rtp://239.252.219.91:5140
直播室103,rtp://239.252.219.111:5140
直播室104,rtp://239.252.219.112:5140
直播室105,rtp://239.252.219.117:5140
直播室106,rtp://239.252.219.135:5140
直播室107,rtp://239.252.219.136:5140
直播室108,rtp://239.252.219.203:5140
直播室109,rtp://239.252.219.204:5140
直播室110,rtp://239.252.219.205:5140
直播室111,rtp://239.252.219.215:5140
直播室201,rtp://239.252.219.129:5140
直播室202,rtp://239.252.219.130:5140
直播室203,rtp://239.252.219.131:5140
直播室204,rtp://239.252.219.132:5140
直播室205,rtp://239.252.219.133:5140
直播室206,rtp://239.252.219.137:5140
直播室207,rtp://239.252.219.138:5140
直播室208,rtp://239.252.219.221:5140
直播室209,rtp://239.252.219.218:5140
直播室210,rtp://239.252.219.219:5140
直播室211,rtp://239.252.219.220:5140
第一剧场,rtp://239.252.219.86:5140
第一剧场HD,rtp://239.252.219.86:5140
精选,rtp://239.252.219.161:5140
纪实人文,rtp://239.252.219.227:5140
纪实人文HD,rtp://239.252.219.227:5140
经典电影,rtp://239.252.220.139:5140
美人,rtp://239.252.220.202:5140
美妆,rtp://239.252.220.208:5140
芒果跨年(特写),rtp://239.252.219.188:5140
芒果跨年云监工,rtp://239.252.219.187:5140
茶,rtp://239.252.220.160:5140
茶HD,rtp://239.252.220.160:5140
西藏卫视,rtp://239.252.219.106:5140
西藏卫视HD,rtp://239.252.219.106:5140
解密,rtp://239.252.220.209:5140
证券服务,rtp://239.252.219.144:5140
财富天下,rtp://239.252.220.240:5140
贵州卫视,rtp://239.252.220.190:5140
贵州卫视HD,rtp://239.252.220.190:5140
足球,rtp://239.252.220.205:5140
车迷,rtp://239.252.220.215:5140
辽宁卫视,rtp://239.252.220.62:5140
辽宁卫视HD,rtp://239.252.220.62:5140
都市剧场,rtp://239.252.219.225:5140
都市剧场HD,rtp://239.252.219.225:5140
重庆卫视,rtp://239.252.220.94:5140
重庆卫视HD,rtp://239.252.220.94:5140
金色频道,rtp://239.252.219.63:5140
金鹰卡通,rtp://239.252.219.69:5140
金鹰卡通HD,rtp://239.252.219.69:5140
金鹰纪实,rtp://239.252.220.155:5140
金鹰纪实HD,rtp://239.252.220.155:5140
鉴赏,rtp://239.252.219.166:5140
陕西卫视,rtp://239.252.219.105:5140
陶瓷,rtp://239.252.220.243:5140
陶瓷HD,rtp://239.252.220.243:5140
青海卫视,rtp://239.252.219.46:5140
音乐现场,rtp://239.252.220.87:5140
风云剧场,rtp://239.252.219.89:5140
风云剧场HD,rtp://239.252.219.89:5140
风云足球,rtp://239.252.219.96:5140
风云足球HD,rtp://239.252.219.96:5140
风云音乐,rtp://239.252.219.87:5140
风云音乐HD,rtp://239.252.219.87:5140
风尚购物,rtp://239.252.219.101:5140
风尚购物HD,rtp://239.252.219.101:5140
高尔夫网球,rtp://239.252.219.95:5140
高尔夫网球HD,rtp://239.252.219.95:5140
高网,rtp://239.252.220.204:5140
魅力时尚,rtp://239.252.220.137:5140
黑龙江卫视,rtp://239.252.219.211:5140
黑龙江卫视HD,rtp://239.252.219.211:5140
