BRTV纪实科教,rtp://225.1.5.74:1384
CCTV-1,rtp://225.1.4.1:1030
CCTV-1,rtp://225.1.4.73:1102
CCTV-10,rtp://225.1.4.10:1039
CCTV-10,rtp://225.1.4.78:1107
CCTV-10高清,rtp://225.1.4.78:1107
CCTV-11,rtp://225.1.4.11:1040
CCTV-11,rtp://225.1.4.215:1268
CCTV-11高清,rtp://225.1.4.215:1268
CCTV-12,rtp://225.1.4.12:1041
CCTV-12,rtp://225.1.4.79:1108
CCTV-12高清,rtp://225.1.4.79:1108
CCTV-13,rtp://225.1.4.113:1293
CCTV-13,rtp://225.1.4.13:1042
CCTV-13高清,rtp://225.1.4.113:1293
CCTV-14,rtp://225.1.4.14:1043
CCTV-14,rtp://225.1.4.80:1109
CCTV-14高清,rtp://225.1.4.80:1109
CCTV-15,rtp://225.1.4.15:1044
CCTV-15,rtp://225.1.4.216:1269
CCTV-15高清,rtp://225.1.4.216:1269
CCTV-16,rtp://225.1.5.46:1356
CCTV-16高清,rtp://225.1.5.46:1356
CCTV-17,rtp://225.1.4.226:2506
CCTV-17,rtp://225.1.4.227:2507
CCTV-17高清,rtp://225.1.4.226:2506
CCTV-1高清,rtp://225.1.4.73:1102
CCTV-2,rtp://225.1.4.2:1031
CCTV-2,rtp://225.1.4.74:1103
CCTV-2高清,rtp://225.1.4.74:1103
CCTV-3,rtp://225.1.4.158:1194
CCTV-3高清,rtp://225.1.4.158:1194
CCTV-4,rtp://225.1.4.4:1033
CCTV-4,rtp://225.1.5.30:1333
CCTV-4高清,rtp://225.1.5.30:1333
CCTV-5,rtp://225.1.4.159:1195
CCTV-5高清,rtp://225.1.4.159:1195
CCTV-5＋,rtp://225.1.4.75:1104
CCTV-5＋高清,rtp://225.1.4.75:1104
CCTV-6,rtp://225.1.4.160:1196
CCTV-6高清,rtp://225.1.4.160:1196
CCTV-7,rtp://225.1.4.76:1105
CCTV-7,rtp://225.1.4.7:1036
CCTV-7高清,rtp://225.1.4.76:1105
CCTV-8,rtp://225.1.4.161:1197
CCTV-8高清,rtp://225.1.4.161:1197
CCTV-9,rtp://225.1.4.77:1106
CCTV-9,rtp://225.1.4.9:1038
CCTV-9高清,rtp://225.1.4.77:1106
